,title,description,labels,category,date,year,is_annual,start_time,duration,venue_name,scope,venue_type,est_capacity,distance,longitude,latitude,rank,local_rank,aviation_rank,impact_linear,impact_exp
11888,2017 Schizencephaly bundle We Are R.A.R.E,,"""career,education,expo""",expos,2017-10-19,2017,0,pm,244800,Holiday Inn Hotel & Suites Across From Universal Orlando,locality,indoor,604.7300431959874,0.4003526780971852,-81.457297,28.47653,42,62.0,0.0,104.90750355316605,8228082621.507548
11889,2017 Schizencephaly bundle We Are R.A.R.E,,"""career,education,expo""",expos,2017-10-20,2017,0,pm,244800,Holiday Inn Hotel & Suites Across From Universal Orlando,locality,indoor,604.7300431959874,0.4003526780971852,-81.457297,28.47653,42,62.0,0.0,104.90750355316605,8228082621.507548
11890,2017 Schizencephaly bundle We Are R.A.R.E,,"""career,education,expo""",expos,2017-10-21,2017,0,pm,244800,Holiday Inn Hotel & Suites Across From Universal Orlando,locality,indoor,604.7300431959874,0.4003526780971852,-81.457297,28.47653,42,62.0,0.0,104.90750355316605,8228082621.507548
11891,2017 Schizencephaly bundle We Are R.A.R.E,,"""career,education,expo""",expos,2017-10-22,2017,0,pm,244800,Holiday Inn Hotel & Suites Across From Universal Orlando,locality,indoor,604.7300431959874,0.4003526780971852,-81.457297,28.47653,42,62.0,0.0,104.90750355316605,8228082621.507548
13422,ORLANDO BUSINESS EXPANSION,"""Join us at our Corporate Overview and find out how we are helping families and businesses in the community and the opportunities that exist with our firm.""","""business,conference""",conferences,2017-12-09,2017,0,pm,7200,Doubletree by Hilton,locality,indoor,545.1673898483793,0.5283126642889673,-81.45725,28.479418,41,60.0,0.0,77.60555968345012,2865859111.7487698
15805,"""Road to Action"" Spring Regional Meeting 2018","""All Undergraduate and Alumnae Hermanas are welcome to join us for a day of dialogue-driven workshops aimed at inspiring action at various stages in our lives.Please note: This meeting is Mandatory for all Undergraduate Hermanas. Please contact your Chapter Advisors for additional details.

Contact: Jesenia Vargas,Gamma Delta Recording Admin
Email: watibir1@gmail.com""","""community,conference""",conferences,2018-02-24,2018,0,pm,28800,,locality,,174.25347302049548,0.4029298612421006,-81.4538,28.4791,30,48.0,0.0,74.45464554927709,20135309.98600581
21606,Motor Drive and Automation Systems,,"""automotive,expo,transportation""",expos,2019-01-23,2019,0,pm,118800,DoubleTree by Hilton Hotel at the Entrance to Universal Orlando,locality,indoor,5919.137100217365,0.5021326335137096,-81.45696600000001,28.479133,64,83.0,58.0,127.45636457076158,313174596738402.7
21607,Motor Drive and Automation Systems,,"""automotive,expo,transportation""",expos,2019-01-24,2019,0,pm,118800,DoubleTree by Hilton Hotel at the Entrance to Universal Orlando,locality,indoor,5919.137100217365,0.5021326335137096,-81.45696600000001,28.479133,64,83.0,58.0,127.45636457076158,313174596738402.7
23330,Hero Hype Miami Comic Convention,"""The event will feature its own original series titled ""Armored Bots"".""","""comic,expo""",expos,2019-07-20,2019,0,pm,36000,,locality,,1891.951382646345,0.4189117236896075,-81.457583,28.476632000000002,53,73.0,0.0,126.51830207375704,1838902659892.0588
23331,Hero Hype Miami Comic Convention,"""The event will feature its own original series titled ""Armored Bots"".""","""comic,expo""",expos,2019-07-21,2019,0,pm,36000,,locality,,1891.951382646345,0.4189117236896075,-81.457583,28.476632000000002,53,73.0,0.0,126.51830207375704,1838902659892.0588
